date,open,close,high,low,vol,amount,code,pchange,change
2018-04-26,18.31,21.97,21.97,18.31,374.0,819454.0,603348,,
2018-04-27,24.17,24.17,24.17,24.17,277.0,670887.0,603348,10.01,2.2
2018-05-02,26.59,26.59,26.59,26.59,680.0,1808918.0,603348,10.01,2.42
2018-05-03,29.25,29.25,29.25,29.25,1373.0,4017546.0,603348,10.0,2.66
2018-05-04,32.18,32.18,32.18,32.18,3758.0,12095658.0,603348,10.02,2.93
2018-05-07,35.4,35.4,35.4,35.4,14737.0,52169544.0,603348,10.01,3.22
2018-05-08,38.94,38.94,38.94,38.94,68259.0,265802528.0,603348,10.0,3.54
2018-05-09,40.0,41.77,42.82,39.72,372796.0,1539512960.0,603348,7.27,2.83
2018-05-10,39.68,43.12,43.25,39.07,310042.0,1258786688.0,603348,3.23,1.35
2018-05-11,41.8,41.88,45.2,41.52,323444.0,1403282944.0,603348,-2.88,-1.24
2018-05-14,41.5,43.24,44.0,40.5,284340.0,1210801792.0,603348,3.25,1.36
2018-05-15,46.85,47.56,47.56,45.1,172287.0,806144128.0,603348,9.99,4.32
2018-05-16,46.0,45.36,47.56,42.8,352413.0,1601203712.0,603348,-4.63,-2.2
2018-05-17,44.15,47.86,49.9,43.5,356799.0,1692547840.0,603348,5.51,2.5
2018-05-18,46.81,47.17,47.56,45.5,232244.0,1083088768.0,603348,-1.44,-0.69
2018-05-21,48.0,48.33,49.6,47.0,256196.0,1241746304.0,603348,2.46,1.16
2018-05-22,47.07,49.19,49.8,46.6,241120.0,1168290816.0,603348,1.78,0.86
2018-05-23,51.0,47.32,53.97,46.84,298637.0,1513164416.0,603348,-3.8,-1.87
2018-05-24,46.36,44.95,46.38,43.23,198640.0,896147584.0,603348,-5.01,-2.37
2018-05-25,45.3,45.4,46.94,45.0,175929.0,806183616.0,603348,1.0,0.45
2018-05-28,44.22,41.2,44.22,40.91,154302.0,655941568.0,603348,-9.25,-4.2
2018-05-29,41.9,45.32,45.32,41.5,218338.0,956300672.0,603348,10.0,4.12
2018-05-30,43.32,45.94,49.8,43.23,297972.0,1390935552.0,603348,1.37,0.62
2018-05-31,44.9,50.53,50.53,44.9,300235.0,1460793984.0,603348,9.99,4.59
2018-06-01,50.46,49.13,51.49,46.55,259555.0,1268995584.0,603348,-2.77,-1.4
2018-06-04,49.0,47.18,50.8,46.0,176164.0,842223488.0,603348,-3.97,-1.95
2018-06-05,47.8,51.9,51.9,46.33,224585.0,1120932096.0,603348,10.0,4.72
2018-06-06,54.0,49.46,56.0,49.23,341352.0,1793973504.0,603348,-4.7,-2.44
2018-06-07,49.0,50.49,51.5,48.69,228561.0,1148630144.0,603348,2.08,1.03
2018-06-08,48.1,48.3,48.66,46.06,197813.0,943512448.0,603348,-4.34,-2.19
2018-06-11,47.08,45.36,47.49,44.66,159805.0,735541632.0,603348,-6.09,-2.94
2018-06-12,45.85,43.8,46.2,42.05,140392.0,616249728.0,603348,-3.44,-1.56
2018-06-13,43.0,43.11,44.84,41.97,133778.0,579124160.0,603348,-1.58,-0.69
2018-06-14,42.29,42.51,43.97,42.0,100331.0,431066048.0,603348,-1.39,-0.6
2018-06-15,43.0,39.92,43.34,39.7,116304.0,478529664.0,603348,-6.09,-2.59
2018-06-19,37.5,35.93,37.96,35.93,80838.0,296326816.0,603348,-9.99,-3.99
2018-06-20,34.0,35.67,36.94,34.0,118400.0,418749056.0,603348,-0.72,-0.26
2018-06-21,35.51,33.12,35.98,32.11,131179.0,443237472.0,603348,-7.15,-2.55
2018-06-22,32.5,33.73,34.15,32.16,99694.0,334181632.0,603348,1.84,0.61
2018-06-25,34.3,34.54,34.88,33.77,107930.0,370215712.0,603348,2.4,0.81
2018-06-26,33.51,35.78,36.36,32.89,124735.0,439034080.0,603348,3.59,1.24
2018-06-27,35.4,35.8,36.5,35.35,115098.0,413334912.0,603348,0.06,0.02
2018-06-28,35.46,35.21,36.19,34.35,105932.0,375912832.0,603348,-1.65,-0.59
2018-06-29,34.96,36.92,37.87,34.51,144208.0,526515968.0,603348,4.86,1.71
2018-07-02,38.12,37.3,39.5,36.8,168553.0,644301952.0,603348,1.03,0.38
2018-07-03,36.74,37.65,37.79,36.03,116493.0,430769504.0,603348,0.94,0.35
2018-07-04,37.18,33.89,37.19,33.89,124473.0,440137184.0,603348,-9.99,-3.76
2018-07-05,33.32,33.0,35.25,32.96,89246.0,304546144.0,603348,-2.63,-0.89
2018-07-06,33.5,34.48,35.9,33.06,110857.0,380523712.0,603348,4.48,1.48
2018-07-09,34.97,35.84,35.9,34.47,112446.0,395323072.0,603348,3.94,1.36
2018-07-10,37.17,39.42,39.42,36.36,86667.0,332857664.0,603348,9.99,3.58
2018-07-11,43.36,43.36,43.36,43.36,18418.0,79860968.0,603348,9.99,3.94
2018-07-12,47.7,43.99,47.7,41.8,309275.0,1375364864.0,603348,1.45,0.63
2018-07-13,43.0,47.7,48.39,42.61,368635.0,1705395712.0,603348,8.43,3.71
2018-07-16,45.82,42.93,45.95,42.93,143133.0,625963072.0,603348,-10.0,-4.77
2018-07-17,40.25,40.79,40.93,38.89,204369.0,820970048.0,603348,-4.98,-2.14
2018-07-18,40.2,39.03,40.38,38.86,130673.0,516615616.0,603348,-4.31,-1.76
2018-07-19,38.8,40.22,40.29,38.11,134476.0,529412128.0,603348,3.05,1.19
2018-07-20,39.39,39.53,40.3,39.13,96218.0,381471072.0,603348,-1.72,-0.69
2018-07-23,39.77,39.71,40.48,38.84,82554.0,326962560.0,603348,0.46,0.18
2018-07-24,39.1,40.04,40.37,39.03,102895.0,410043904.0,603348,0.83,0.33
2018-07-25,40.22,38.5,40.28,38.05,99427.0,390921856.0,603348,-3.85,-1.54
2018-07-26,38.44,35.46,38.44,35.17,130765.0,474015200.0,603348,-7.9,-3.04
2018-07-27,34.91,36.3,37.31,34.91,98918.0,359803552.0,603348,2.37,0.84
2018-07-30,36.08,37.37,37.59,34.8,105451.0,388252480.0,603348,2.95,1.07
2018-07-31,36.88,36.23,38.25,35.5,82409.0,303265376.0,603348,-3.05,-1.14
2018-08-01,36.51,34.91,36.77,34.85,62027.0,221020048.0,603348,-3.64,-1.32
2018-08-02,36.0,35.92,37.8,35.1,121612.0,441216832.0,603348,2.89,1.01
2018-08-03,36.3,37.13,38.39,35.16,153420.0,567502784.0,603348,3.37,1.21
2018-08-06,36.0,33.42,36.0,33.42,112277.0,383680352.0,603348,-9.99,-3.71
2018-08-07,33.2,33.82,34.06,30.95,97718.0,321340512.0,603348,1.2,0.4
2018-08-08,34.0,33.05,34.9,32.37,99257.0,337144864.0,603348,-2.28,-0.77
2018-08-09,31.72,33.33,33.72,31.1,75771.0,249985552.0,603348,0.85,0.28
2018-08-10,33.32,33.56,33.98,32.23,78620.0,260928688.0,603348,0.69,0.23
2018-08-13,32.9,34.1,34.29,32.5,71989.0,242203328.0,603348,1.61,0.54
2018-08-14,36.15,35.2,37.51,35.17,145066.0,527283168.0,603348,3.23,1.1
2018-08-15,35.0,33.48,35.0,33.33,88499.0,301371424.0,603348,-4.89,-1.72
2018-08-16,31.17,31.71,32.6,31.16,77316.0,246655488.0,603348,-5.29,-1.77
2018-08-17,32.0,30.71,32.48,30.63,51506.0,162841488.0,603348,-3.15,-1.0
2018-08-20,30.1,30.15,30.73,28.81,59687.0,178127696.0,603348,-1.82,-0.56
2018-08-21,29.88,30.14,30.47,29.4,58048.0,174150112.0,603348,-0.03,-0.01
2018-08-22,29.99,28.81,30.44,28.61,55642.0,164457872.0,603348,-4.41,-1.33
2018-08-23,29.08,29.3,29.49,28.68,48466.0,141503648.0,603348,1.7,0.49
2018-08-24,30.5,29.25,30.5,28.98,56354.0,166912560.0,603348,-0.17,-0.05
2018-08-27,28.51,29.7,29.95,28.51,48745.0,143465024.0,603348,1.54,0.45
2018-08-28,30.04,29.65,30.07,29.32,39655.0,117276608.0,603348,-0.17,-0.05
