date,open,close,high,low,vol,amount,code,pchange,change
2022-12-22,8.48,10.18,10.18,8.48,148481.0,150224896.0,601136,,
2022-12-23,11.2,11.2,11.2,11.2,39625.0,44380268.0,601136,10.02,1.02
2022-12-26,12.32,12.32,12.32,12.32,25227.0,31080784.0,601136,10.0,1.12
2022-12-27,13.55,13.55,13.55,13.55,157565.0,213501856.0,601136,9.98,1.23
2022-12-28,14.91,14.91,14.91,14.91,534408.0,796802304.0,601136,10.04,1.36
2022-12-29,15.4,15.84,16.3,15.28,2078127.0,3262879744.0,601136,6.24,0.93
2022-12-30,15.5,17.42,17.42,15.42,173500542.0,2883635635.0,601136,9.97,1.58
2023-01-03,16.85,17.12,17.31,16.1,154172864.0,2587143661.0,601136,-1.72,-0.3
2023-01-04,16.98,16.83,17.36,16.4,126499059.0,2135767246.0,601136,-1.69,-0.29
2023-01-05,16.75,16.56,17.28,16.34,124803924.0,2096616220.0,601136,-1.6,-0.27
2023-01-06,16.22,16.75,17.25,16.22,114187252.0,1916489004.0,601136,1.15,0.19
2023-01-09,16.79,17.1,17.7,16.52,124202740.0,2118095037.0,601136,2.09,0.35
2023-01-10,17.01,16.85,17.53,16.73,102523895.0,1754768263.0,601136,-1.46,-0.25
