date,open,close,high,low,vol,amount,code,pchange,change
2021-05-25,4.21,5.05,5.05,4.21,13390.0,6742716.0,600032,,
2021-05-26,5.56,5.56,5.56,5.56,2847.0,1583416.0,600032,10.1,0.51
2021-05-27,6.12,6.12,6.12,6.12,2137.0,1307997.0,600032,10.07,0.56
2021-05-28,6.73,6.73,6.73,6.73,8225.0,5535856.0,600032,9.97,0.61
2021-05-31,7.4,7.4,7.4,7.4,13663.0,10111020.0,600032,9.96,0.67
2021-06-01,8.14,8.14,8.14,8.14,7904.0,6434108.0,600032,10.0,0.74
2021-06-02,8.95,8.95,8.95,8.95,11161.0,9989543.0,600032,9.95,0.81
2021-06-03,9.85,9.85,9.85,9.85,6837.0,6735075.0,600032,10.06,0.9
2021-06-04,10.84,10.84,10.84,10.84,22093.0,23949776.0,600032,10.05,0.99
2021-06-07,11.92,11.92,11.92,11.92,30365.0,36195128.0,600032,9.96,1.08
2021-06-08,13.11,13.11,13.11,12.71,1035325.0,1354206848.0,600032,9.98,1.19
2021-06-09,13.11,13.45,14.38,12.26,1547243.0,2043551104.0,600032,2.59,0.34
2021-06-10,12.84,13.6,14.35,12.68,1134249.0,1545338624.0,600032,1.12,0.15
2021-06-11,14.5,14.03,14.8,13.25,1208081.0,1701685888.0,600032,3.16,0.43
2021-06-15,13.5,12.63,13.51,12.63,854769.0,1100128256.0,600032,-9.98,-1.4
2021-06-16,12.2,11.56,12.2,11.37,697182.0,814298112.0,600032,-8.47,-1.07
2021-06-17,11.62,12.3,12.57,11.19,711746.0,852511488.0,600032,6.4,0.74
2021-06-18,12.06,13.08,13.08,11.68,781981.0,971694528.0,600032,6.34,0.78
2021-06-21,13.0,12.88,13.55,12.73,775515.0,1016920832.0,600032,-1.53,-0.2
2021-06-22,12.98,14.17,14.17,12.98,1085505.0,1491787776.0,600032,10.02,1.29
2021-06-23,14.0,15.59,15.59,13.8,1219025.0,1802974720.0,600032,10.02,1.42
2021-06-24,16.11,14.04,16.66,14.03,971667.0,1450443520.0,600032,-9.94,-1.55
2021-06-25,13.63,12.94,13.89,12.81,730706.0,959703232.0,600032,-7.83,-1.1
